Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,890408,-,-,-,40.13,-88.22,-6,223,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,17,30,0,0,-8,0.866,2.3,74.72,-5,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,18,0,0,0,-9,0.866,2.5,78.93,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,18,30,0,0,-9,0.866,2.6,78.92,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,19,0,0,0,-9,0.866,2.8,77.84,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,19,30,0,0,-9,0.866,2.9,77.83,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,20,0,0,0,-9,0.866,3.1,83.26,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,20,30,0,0,-9,0.866,3.1,83.27,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,21,0,0,0,-9,0.866,3.2,82.89,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,21,30,0,0,-9,0.866,3.2,82.9,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,22,0,0,0,-9,0.866,3.3,83.21,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,22,30,0,0,-9,0.866,3.3,83.2,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,23,0,0,0,-9,0.866,3.3,83.04,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,23,30,0,0,-9,0.866,3.3,83.03,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,0,0,0,0,-9,0.866,3.3,82.46,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,0,30,0,0,-9,0.866,3.2,82.46,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,1,0,0,0,-9,0.866,3.2,88.7,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,1,30,0,0,-9,0.866,3.1,88.69,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,2,0,0,0,-9,0.866,3.1,88.6,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,2,30,0,0,-9,0.866,3,88.59,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,3,0,0,0,-9,0.866,3,89.04,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,3,30,0,0,-9,0.866,2.9,89.04,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,4,0,0,0,-9,0.866,2.9,90.27,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,4,30,0,0,-9,0.866,2.9,90.29,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,5,0,0,0,-9,0.866,2.9,92.38,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,5,30,0,0,-9,0.866,3,85.53,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,6,0,0,0,-8,0.866,3.1,89.54,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,6,30,0,0,-8,0.866,3.1,89.55,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,7,0,0,0,-7,0.866,3.2,93.65,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,7,30,14,153,-7,0.866,3.5,80.42,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,8,0,36,450,-6,0.866,3.9,82.48,-5,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,8,30,47,0,-6,0.866,4,76.57,-3,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,9,0,70,0,-4,0.866,4.2,80.26,-2,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,9,30,87,0,-4,0.866,4.8,74.59,-1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,10,0,135,13,-4,0.866,5.4,72.75,0,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,10,30,135,0,-4,0.866,5.7,72.74,0,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,11,0,152,5,-5,0.866,6,63.8,1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,3,11,30,168,16,-5,0.866,6.1,63.79,1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
